,Nepali,Min Price,Max Price,Avg Price
Tomato Big(Nepali) (KG),गोलभेडा ठूलो(नेपाली) (के.जी.),70,80,75.00
Tomato Big(Indian) (KG),गोलभेडा ठूलो(भारतीय) (केजी),45,55,50.00
Tomato Small(Local) (KG),गोलभेडा सानो(लोकल) (के.जी.),50,60,55.00
Tomato Small(Tunnel) (KG),गोलभेडा सानो(टनेल) (के जी),60,80,70.00
Potato Red(Indian) (KG),आलु रातो(भारतीय) (के जी),38,40,39.00
Onion Dry (Indian) (KG),प्याज सुकेको (भारतीय) (के.जी.),95,100,97.50
Carrot(Local) (KG),गाजर(लोकल) (के.जी.),140,150,145.00
Cabbage(Local) (KG),बन्दा(लोकल) (के.जी.),60,70,65.00
Cauli Local (KG),काउली स्थानिय (के.जी.),100,120,113.33
Raddish White(Hybrid) (KG),सेतो मूला(हाइब्रीड) (केजी),25,35,31.00
Cow pea(Long) (KG),बोडी(तने) (के.जी.),90,100,96.67
French Bean(Local) (KG),घिउ सिमी(लोकल) (के.जी.),20,30,25.00
French Bean(Hybrid) (KG),घिउ सिमी(हाइब्रीड) (केजी),20,30,25.00
Bitter Gourd (KG),तितो करेला (के.जी.),90,100,96.67
Pointed Gourd(Local) (KG),परवर(लोकल) (के.जी.),50,60,56.67
Smooth Gourd (KG),घिरौला (के.जी.),90,100,95.00
Pumpkin (KG),फर्सी पाकेको (के.जी.),30,40,35.00
Squash(Round) (KG),हरियो फर्सी(डल्लो) (केजी),60,70,65.00
Okara (KG),भिण्डी (के.जी.),60,70,65.00
Christophine (KG),स्कूस (के.जी.),20,25,22.50
Brd Leaf Mustard (KG),रायो साग (के.जी.),80,90,85.00
Mustard Leaf (KG),तोरीको साग (के.जी.),40,50,45.00
Mushroom(Kanya) (KG),च्याउ(कन्य) (के.जी.),50,80,66.00
Mushroom(Button) (KG),च्याउ(डल्ले) (के जी),350,400,375.00
Brocauli (KG),ब्रोकाउली (के.जी.),120,150,135.00
Lettuce (KG),जिरीको साग (के.जी.),80,90,85.00
Tamarind (KG),इमली (के.जी.),140,150,145.00
Bamboo Shoot (KG),तामा (के.जी.),90,100,96.67
Tofu (KG),तोफु (के.जी.),120,130,126.67
Gundruk (KG),गुन्दुक (के.जी.),250,300,275.00
Tree Tomato (Kg),रुख टमाटर (केजी),120,140,130.00
Apple(Fuji) (KG),स्याउ(फूजी) (के जी),320,350,335.00
Banana (Per Dozen),केरा (दर्जन),150,160,155.00
Lime (KG),कागती (के.जी.),150,180,165.00
Pomegranate (KG),अनार (के.जी.),350,400,375.00
Grapes(Black) (KG),अंगुर(कालो) (केजी),400,420,410.00
Orange(Indian) (KG),सुन्तला(भारतीय) (केजी),140,150,145.00
Water Melon(Green) (KG),तरबुजा(हरियो) (के.जी.),60,70,65.00
Sweet Orange (KG),मौसम (के.जी.),140,150,145.00
Mandarin (KG),जुनार (के.जी.),320,350,335.00
Pineapple (1 Pc),भुई कटहर (प्रति गोटा),150,180,165.00
Cucumber(Local) (KG),काक्रो(लोकल) (के.जी.),100,120,110.00
Cucumber(Hybrid) (KG),काक्रो(हाइब्रीड) (के जी),50,60,56.67
Lemon (KG),निबुवा (के.जी.),40,50,45.00
Pear(Chinese) (KG),नासपाती(चाइनिज) (केजी),220,250,235.00
Papaya(Indian) (KG),मेवा(भारतीय) (केजी),110,120,115.00
Kiwi (KG),किवि (केजी),200,300,250.00
Avocado (KG),आभोकाडो (के.जी),200,300,250.00
Ginger (KG),अदुवा (के.जी.),150,160,155.00
Chilli Dry (KG),खु्र्सानी सुकेको (के.जी.),450,500,475.00
Chilli Green (KG),खु्र्सानी हरियो (के.जी.),120,140,130.00
Capsicum (KG),भेडे खु्र्सानी (के.जी.),140,160,150.00
Coriander Green (KG),हरियो धनिया (के.जी.),200,250,233.33
Garlic Dry Chinese (KG),लसुन सुकेको चाइनिज (के.जी.),250,260,256.67
Fish Fresh(Rahu) (KG),ताजा माछा(रहु) (के जी),360,370,365.00
Fish Fresh(Bachuwa) (KG),ताजा माछा(बचुवा) (के जी),260,270,265.00
Fish Fresh(Chhadi) (KG),ताजा माछा(छडी) (के जी),240,260,250.00
Fish Fresh(Mungari) (KG),ताजा माछा(मुंगरी) (के जी),230,250,240.00
